district,count
Centre,1595
Eixample,733
Sant Martí,719
Sants-Montjuïc,682
Sarrià-Sant Gervasi,639
Gràcia,631
Horta Guinardó,622
Nou Barris,570
Les Corts,534
Sant Andreu,393
Can Serra - Pubilla Cases,339
Ciutat Vella,335
La Florida - Les Planes,291
Collblanc,234
Marianao,232
Barri Antic - Centre,181
Sant Ildefons,166
Santa Rosa - Can Mariner,146
Fondo,135
La Gavarra,131
Torrent Ballester,130
Zona Nord,123
Mercat,122
Plana LLedó,120
La Creu de Barberà - Avinguda - Eixample,120
Santa Eulàlia,117
Plaça Catalunya - Vinyets,114
La Plana - Montesa,106
Zona Esportiva - Sant Pere,106
Fontetes,105
Ca n'Oriol - Can Rosés,98
Montmar,95
Les Planes,94
Can Vidalet,93
Centre - Casco Antiguo,93
La Mina,92
Ca N'Oriac - Can Puiggener,89
La Miranda - Ciutat Diagonal,87
Sant Quirze Parc-Vallsuau-Castellet,82
Mas Rampinyo - Carrerada,82
Can Alzamora - Les Torres - 25 de Setembre,81
Bellaterra,81
Montcada Centro,77
Vallparadís - Escoles,76
Estació de França,75
El Sucre-Universitat,75
Can Mas,74
Bellvitge,74
Riera Alta - Llatí,71
Parc Empresarial,71
El Pedró,71
Can Calders,70
El Raval,69
Vinyet-Terramar-Can Pei-Can Girona,68
La Concòrdia - Can Rull,66
Centre-Cordelles,62
Valldoreix,61
Ca n'Aurell,61
Riera,61
Golf,60
Singuerlín,59
La Torrasa,58
Ciutat Cooperativa - Moli Nou,56
Finestrelles,55
La Creu Alta,54
Sant Francesc-El Coll,54
Mirasol,53
Sant Adriá Nord,53
Can Matas,53
Lluminetes,52
Can Tiana,51
Riu,51
Santa Clara-Caputxins-Hospital,51
Llevant,51
La Pineda,50
Poble Nou,50
Sant Ramón,49
Can Pantiquet,49
La Roureda,49
Urbanitzacions,49
Col-legis Nous,48
Gavà Mar,47
Plaça de Catalunya,47
Martinica-Ateneu,47
Centre - Estació,47
Sant Joan Baptista,46
La Ribera,45
Centre Vila - La Geltrú,44
La Plana - Bellsoleig,44
Port,44
Barceloneta - Molí d'En Rovira,44
Ca n'Anglada - Montserrat - Torre-sana,44
Can Clos - Pinetons,44
Serraparera,44
Can Sant Joan,43
Arxius,42
Levantina-Montgavina-Quintmar,42
Camps Blancs - Els Canons,41
Estació del Nord,41
La Floresta,38
Can Palet - Xúquer,37
Baixador,36
El Castell-Poble Vell,36
La Girada,36
La Miranda - Can Candeler,35
Llefià - Sant Roc - Artigues,33
Montigalà -Sant Crist,33
Almeda,33
Roses - Castellbell,32
Segle XX,32
Sant Pere Nord - Ègara,31
Terra Nostra - Font Pudenta,31
Centre Vila,31
El Poal,30
Montflorit-Plana del Castell,30
Bellamar,29
Volpelleres,29
Caneletes-Turonet,28
Can Clota,28
Parc Central - Colomer,28
Can Borrell,27
Can Fatjó,27
Casablanca,26
Estadi-Horta Vermella-Santa Anna,26
Nord - Sant Andreu,26
Gorg  - Progrés,26
Sant Muç - Castellnou - Can Mir,26
Can Jofresa - Can Perellada - Les Fonts,26
Centro Pueblo,26
Campreciós - Torre Roja,26
La Salut,26
Sant Julià,25
Ctra. Vic - Remei,25
La Salut - Lloreda - Sistrells,24
Sant Domènec,24
Can Roca-Muntanyeta,24
El Besós,24
Poble Sec,24
Centro,23
Bobiles - Diagonal - Les Colomeres,23
Casc Antic,23
El Gall,23
Once de Septiembre - Sant Jordi,23
Mas d'En Serra-Els Cards,21
Ctra. Santpedor - Bases de Manresa,21
Vallpineda-Santa Bárbara,21
La Grípia - Sant Llorenç,21
La Collada - Sis Camins,21
Les Fonts,21
Can Cuiàs,20
Les Colines-Cal Surià,19
San Sebastian-Aiguadolç,19
Mas Mestre,19
Torreblanca - Pla del Vent,19
Plaça Catalunya,18
Can Gambús,18
La Plana,18
Pla de Sant Magi,18
Mas Alba-Can Lloses,17
Can Pallàs - Can Llobateras,16
Nucli Urbà,16
La Cogullada,16
Els Molins-Observatorio-Pins Vens,16
Antic,15
Les Botigues de Sitges,15
Can Teixido - Can Sors,15
L'Aragai - Prat de Vilanova,15
Sant Joan - L'Aiguacuit,15
La Catalana,14
Centre - Passeig i Rodalies,14
Mas Lluí - Els Miralls,14
Alella Parc,13
Montserrat - Zona Passeig - Can Illa,13
Fontsanta-Fatjó,13
Mas Duran,13
Urbanizaciones,13
Remei-Montseny-La Guixa,13
Casagemes - Canyadó,13
Roc Blanc,13
L'Espirall,12
Les Clotes,12
Granvia L-H,12
Valldaura - Ctra. de Cardona,12
L'Hostal - Lledoner,12
Supermaresme,11
Mas Mora - Sant Daniel,11
Nord Oest - Can Noguera,11
Mas Coll - Can Comulada,11
Poblenou,11
Can Bou,11
La Maurina,11
Les Casernes - Sant Jordi,11
Mas Lluí,11
Barrio de Salamanca,10
Can Boada,10
Can Serrafossà - La Perla - Els Avets,10
Coll Favà - Can Magí,10
Sant Miquel - Tres Torres,9
Font Verda,9
Casablanques,9
Bardají-Molí de Baix,9
Niàgara Parc - Ágora Parc - Roca Rossa,9
Bufalà,9
Ponent,9
Santa Rosa,8
Gran Via del Mar-Zona Universitaria,8
Can Quirze,8
Les Roquetes,8
Torre-romeu,8
Can Tintorer - Can Pere Boir - Can Tries,7
Fonts dels Capellans - Viladordis,7
Chamartín,7
Congost - Santa Caterina,7
Canyadell-Villes-Victória,7
El Pla,7
Califòrnia-Santa Madrona,7
Riera Seca,7
Escodines,6
Bigues,6
Airesol,6
Barri de Mar,6
Chamberí,6
Sant Jordi - El Castell,6
Santa Maria-Eixample-Sud Sumella,6
Polígono Industrial,6
Mas Ram,6
Fuencarral,5
Moncloa,5
Can Paulet,5
Vistalegre,5
Balconada - Cal Gravat,5
La Morera,5
Vallpineda-Rocamar,5
Mas Milà,5
Marítim,5
Nord,5
Riells del Fai,5
Olivella,5
Puigmoltó-Can Macià,5
Platja de Sant Vicenç,5
La Mallola,5
Can Palet de Vistalegre,5
Sta. Mª Balis - Can Riera - Can Jordi,5
Playa,5
Fondo Somella,5
Ocata,5
Instituts - Ponent,4
Congost - Can Gili - Estació del Nord,4
Reixac-Vallensana,4
Zona Estación - Casco Antiguo,4
Masnou Alt,4
El Balis - Can Calella,4
Sant Vicenç,4
Les Bilbenyes,4
Cases Mediterrànies - Terra Bella,4
Ametllers-Poble Sec-Ca L'Antoniet,4
Sagrada Familia,4
Can Rial,4
Platja,4
Tordera,4
Mas Trader-Corral D’En Tort-Corral D’En Cona,4
San Blas,3
Hortaleza,3
Sesoliveres la Massa,3
Retiro,3
TV3,3
Pla de Sant Pere-Les Salines,3
Peramás,3
Ca n'Avellaneda - Can Font,2
Les Comes,2
Bruguers - La Sentiu,2
Can Barata,2
Torreblanca,2
Les Martines,2
Can Feu,2
Santa Maria,2
Rocafonda,2
Bellresguard-Can Teixidó,2
Can Farrerons,2
Pinemar-Can Cornet,2
Montessol-Can Carreras,2
Cerdanyola,2
La Llantia,2
Garraf,1
Can Raimí - Les Ginesteres - Can Cabot,1
Can Gonteres,1
Zona Alta,1
Pol. Ind. Domenys,1
Terrabrava - Tordera Parc,1
Sant Feliu del Racó,1
Sector Est,1
Usera,1
Poligon Industrial,1
L'Havana,1
Sant Pere,1
Tetuán,1
Latina,1
Can Violi - Can Poi de Bosc,1
Palou,1
Montalnou - Milans del Bosc,1
Mas d'en Gall,1
Els Canyars,1
Can Serra Lladó - Madà - El Cros,1
Ribes Roges,1
Els Merinals,1
