Ferrocaril;latitude;longitude
la Pobla de Lillet;1.964948;42.2413116
Carretera de les Aigües;2.1079533;41.4122894
Montserrat;1.8363415;41.5919751
Sant Joan;1.8333554;41.5887646
Montserrat;1.8368462;41.5923076
Santa Cova;1.8394195;41.5924361
la Pobla de Claramunt;1.6779169;41.5546311
Fundació Hospital Asil de Granollers;2.2959097;41.6134098
Museu del Ciment;1.9771542;42.2592672
Vic;2.248679;41.930983
l'Hospitalet de Llobregat;2.100942;41.3642387
Vallvidrera Superior;2.1057924;41.4141365
Gelida inferior;1.8647396;41.4481553
Gelida superior;1.8645887;41.4405906
Hospital Evangèlic;2.1590499;41.4111635
Rajadell;1.6985293;41.7324011
Aeri de Montserrat;1.853415;41.5912292
Ecoparc;2.1370899;41.3301838
ZAL | Riu Vell;2.1331165;41.3237458
Monistrol Enllaç (Cremallera);1.8490323;41.6103837
Can Ros;2.0048852;41.3993588
Barcelona - Sants;2.1400042;41.3790068
Sant Martí de Sesgueioles;1.486246;41.7012753
Seguers - Sant Pere Sallavinera;1.5740878;41.74779
Aguilar de Segarra;1.6236549;41.7388594
Parc de Montjuïc;2.1630364;41.3687724
Universitat Autònoma;2.1023251;41.502702
el Papiol;2.0025582;41.4354962
El Prat Estació;2.0901394;41.3314023
Les Moreres;2.1030715;41.3289845
Mercabarna;2.1112293;41.3335696
Badal;2.1289265;41.3755518
Bon Pastor;2.2048081;41.4361256
Camp de l'Arpa;2.1810127;41.4146858
Can Boixeres;2.0915183;41.3665823
Canyelles;2.1664392;41.4417701
Collblanc;2.1184045;41.3758735
Congrés-Indians;2.1812853;41.4234164
Drassanes;2.1759836;41.3769334
Entença;2.1449598;41.3839818
Fontana;2.1529951;41.4021018
Gavarra;2.0792152;41.3579852
Gorg;2.2336924;41.4404408
Horta;2.1603155;41.4296898
Hospital Clínic;2.1505425;41.3881615
Llefià;2.2175477;41.4413034
Maragall;2.176504;41.4250282
Maria Cristina;2.1262221;41.38794
Montbau;2.1445379;41.4295504
Mundet;2.1483831;41.4355422
Onze de Setembre;2.193435;41.4297598
Penitents;2.1411326;41.4175413
Plaça del Centre;2.136232;41.3820364
Pubilla Cases;2.1071207;41.3738133
Roquetes;2.1757834;41.447355
Tarragona;2.1453675;41.378444
Vallcarca;2.144542;41.4119098
Valldaura;2.1568764;41.4380037
Vilapicina;2.1681725;41.43046
Zona Universitària;2.1116863;41.3842442
la Salut;2.2245758;41.442733
les Corts;2.1308782;41.3841337
Rambla Just Oliveras;2.0998719;41.3639652
Paral·lel (Funicular);2.169837;41.3747892
Módulo;-64.6280716;10.0794745
Centre de Salut Mental Infantil i Juvenil Sant Boi;2.0381879;41.3464296
Hospital de Nens de Barcelona;2.1733003;41.3970879
Sarrià;2.1251389;41.3988657
Gràcia;2.1520847;41.3997143
Cornellà Centre;2.0705523;41.3573028
Barcelona - Plaça Catalunya;2.1692912;41.3875812
Girona;2.1709596;41.3950237
Universitat;2.1640978;41.385731
Sant Antoni;2.1633286;41.3802503
Barcelona - Arc de Triomf;2.1809092;41.3921143
Verdaguer;2.1684275;41.4000911
Aeroport T1;2.0711647;41.2882946
Aeroport T2;2.0726343;41.3038276
Molí Nou | Ciutat Cooperativa;2.0352776;41.3575245
Diagonal;2.1599423;41.3959412
Provença;2.157979;41.3928741
Hospital de Bellvitge;2.1072007;41.3446499
El Coll | La Teixonera;2.1493621;41.4216569
Baró de Viver;2.1995389;41.4499467
Bellvitge Rambla Marina;2.1109354;41.3509646
Avinguda Carrilet;2.102483;41.3589129
Can Serra;2.1027358;41.3676843
Florida;2.1098316;41.3683228
Torrassa;2.1166305;41.3684057
Santa Eulàlia;2.1286052;41.3687993
Hostafrancs;2.143419;41.3752424
Plaça de Sants;2.1379127;41.3753756
Espanya;2.1493272;41.3754812
Rocafort;2.1545732;41.3792368
Artigues | Sant Adrià;2.2175726;41.4337214
Plaça de Catalunya (FGC);2.1683846;41.3857937
Plaça Espanya;2.1488327;41.3747456
Sant Josep;2.1103613;41.3609506
Llucmajor-República;2.1733739;41.4369792
La Sagrera (L1);2.1870242;41.4226234
La Sagrera (L9N-L10);2.1867491;41.4204532
La Sagrera (L5);2.186586;41.4212221
Virrei Amat;2.1749989;41.4295936
Sagrada Família;2.173924;41.4040622
Sagrada Família;2.1751136;41.4039801
Fondo (L9);2.2184075;41.4516735
Fondo (L1);2.2183919;41.4515878
Fabra i Puig;2.1836388;41.4297809
Torras i Bages;2.1907138;41.4431273
Reina Elisenda;2.119034;41.3987898
Catalunya;2.170084;41.3865465
Can Peixauet;2.2102857;41.4444722
Can Zam;2.1984935;41.4576792
Singuerlín;2.2055928;41.459458
Liceu;2.1730711;41.3813959
Badalona Pompeu Fabra;2.2442207;41.4489607
Església Major;2.2124022;41.4547585
Pep Ventura;2.2380518;41.4439389
Mas Blau;2.0734222;41.3113187
Parc Nou;2.0873951;41.3166593
Cèntric;2.0935517;41.3218206
Parc Logístic;2.1280783;41.3417575
Fira;2.130679;41.3519228
Europa-Fira;2.1256902;41.3572488
Can Tries - Gornal;2.1181989;41.3607212
Palau Reial;2.1178553;41.3858079
Sants Estació;2.141114;41.3814691
el Poble-sec;2.1605721;41.3749795
Trinitat Nova;2.1841624;41.4494828
Lesseps;2.1500337;41.4061724
Sant Roc;2.2278605;41.4353172
Monumental;2.1794545;41.4005241
La Pau;2.205618;41.4240389
Encants;2.1825232;41.4070747
Verneda;2.2097745;41.4298896
Magòria - la Campana;2.1393675;41.3678579
Ildefons Cerdà;2.1301693;41.361165
Gornal;2.1170729;41.3547752
Avinguda Carrilet;2.1029121;41.3579267
Bac de Roda;2.1951059;41.4148814
Santa Coloma;2.2079477;41.4510253
Urquinaona;2.1733108;41.3880852
Jaume I;2.1787061;41.3840008
Barceloneta;2.1854822;41.3821171
Ciutadella | Vila Olímpica;2.1929661;41.3866815
Bogatell;2.1920399;41.3950987
Llacuna;2.197649;41.3993809
Poblenou;2.2032751;41.4036418
Selva de Mar;2.2091094;41.4080147
El Maresme | Fòrum;2.2166779;41.4117753
Besòs;2.2097125;41.4203693
Besòs Mar;2.2160851;41.4150936
Sant Martí;2.2007307;41.4190565
el Clot;2.1869158;41.4101394
Tetuan;2.1755213;41.3948216
Urquinaona;2.1745608;41.3896372
Sants Estació;2.1403215;41.3798895
La Sagrera - Meridiana;2.1866792;41.4238386
Plaça Molina;2.1474414;41.4013354
Pàdua;2.1430732;41.403344
el Putxet;2.1391359;41.4058141
Avinguda Tibidabo;2.1371569;41.4096598
Sant Ildefons;2.0843303;41.3633432
Can Vidalet;2.0997596;41.3717369
Via Júlia;2.1786043;41.4438467
Trinitat Nova;2.182427;41.449185
Casa de l'Aigua;2.1848915;41.4512669
Torre Baró | Vallbona;2.1799449;41.4592177
Can Cuiàs;2.1728664;41.4625511
Ciutat Meridiana;2.1745668;41.4609185
el Carmel;2.1549579;41.4256037
Maragall;2.1773979;41.4231064
Sant Pau | Dos de Maig;2.175983;41.4107312
Sant Gervasi;2.1470799;41.4010671
les Tres Torres;2.1311837;41.3976108
la Bonanova;2.1361547;41.3977857
Santa Rosa;2.2158135;41.446842
Muntaner;2.1428749;41.3986188
Joanic;2.1631882;41.4062666
Guinardó | Hospital de Sant Pau;2.174074;41.4160751
Cornellà-Riera;2.0706597;41.3514715
Almeda;2.0845124;41.3530362
Alfons X;2.1655057;41.4121009
Can Feu | Gràcia;2.100266;41.54244
Peu del Funicular;2.1114034;41.4090443
Urgell;2.1588888;41.3824863
Marina;2.1862682;41.3949958
Glòries;2.1875183;41.4022111
Navas;2.1869379;41.4160445
Sant Andreu;2.1911382;41.4366293
Trinitat Vella;2.1937366;41.4487676
Paral·lel;2.1693908;41.3749142
Paral·lel;2.1693278;41.375133
Universitat;2.1640533;41.3848285
el Clot;2.1867259;41.4102828
La Pau;2.2051956;41.4236829
Trinitat Nova;2.182423;41.4492053
Zona Universitària;2.1116655;41.3841003
Verdaguer;2.1681937;41.399772
Vall d’Hebron | Sant Genís;2.1423965;41.4249128
Gorg;2.2337073;41.4405041
Europa-Fira;2.1251579;41.3571111
Diagonal;2.158857;41.3944431
Pallejà;1.995572;41.4207843
Castellbisbal;1.9677897;41.4732797
Ocata;2.3198073;41.4790158
Sabadell Plaça Major;2.1088314;41.5474092
Manresa-Viladordis;1.8340881;41.7246669
Passeig de Gràcia (L2);2.1682772;41.3894431
la Beguda;1.8387476;41.5016912
Volpelleres;2.0728611;41.4812906
Sabadell Sud;2.1051748;41.5286558
Sant Quirze de Besora;2.2176466;42.1048309
La Farga de Bebié;2.203594;42.1297082
Montserrat;1.8366671;41.5924381
Monistrol-Vila;1.8433146;41.6154915
Barcelona - Estació de França;2.1854688;41.3842865
Calaf;1.515029;41.7301408
Manresa;1.8266326;41.7202649
Vilanova i la Geltrú;1.7308241;41.2201812
el Prat de Llobregat;2.0892588;41.330888
Bellvitge-Gornal;2.1154078;41.3540138
Clínica del Vallès;2.1177936;41.532514
CAP de Palau-solità i Plegamans;2.1750835;41.583384
Foc;2.1421622;41.3558512
Foneria;2.1386556;41.3604566
Cruz Roja Sabadell;2.1162827;41.5450226
Provençana;2.1242931;41.3613875
Antic Hospital de S. Jaume i Sta. Magdalena;2.4489569;41.5396821
Ciutat de la Justícia;2.1330085;41.3632435
Piera;1.7544148;41.5258773
Sitges;1.8097337;41.2392039
Garraf;1.9026021;41.2543042
Platja de Castelldefels;1.9572765;41.2670772
Castelldefels;1.9793953;41.2787125
Gavà;2.0103509;41.3030507
Sant Andreu;2.1938816;41.4362394
El Clot;2.1874108;41.4090696
Martorell - Enllaç;1.9186015;41.4840287
Cornellà;2.0705574;41.3575183
Martorell - Central;1.9257161;41.4793492
Martorell Central;1.9266994;41.4790936
Sant Sadurní d'Anoia;1.7946769;41.4203274
Vilafranca del Penedès;1.7033853;41.3446233
els Monjos;1.6600909;41.3145948
Mataró;2.4455242;41.5330483
el Masnou;2.3104186;41.4769061
Montgat;2.2722059;41.462907
Badalona;2.2491007;41.4457071
Sant Cugat Centre;2.0782386;41.467969
Sant Joan;2.0768713;41.4903694
Cerdanyola del Vallès;2.1476159;41.4926347
Cerdanyola Universitat;2.1150935;41.4969877
Sant Cugat Coll Favà;2.0797037;41.4811573
Rubí Can Vallhonrat;2.0373677;41.4753115
Molins de Rei;2.0209874;41.4099448
Pineda de Mar;2.6936105;41.6223602
Montmeló;2.2453803;41.5497166
Granollers Centre;2.291612;41.5996549
Calella;2.6665744;41.6147084
Sant Pol de Mar;2.6246461;41.601631
Canet de Mar;2.581146;41.586446
Arenys de Mar;2.5494194;41.5774115
Baixador de la Font;1.7240247;41.2140697
Malgrat de Mar;2.741404;41.641532
Montcada i Reixac;2.1882527;41.4840483
les Franqueses - Granollers Nord;2.294442;41.6172314
Cardedeu;2.3561758;41.6364191
Llinars del Vallès;2.4046011;41.637913
Sant Celoni;2.4909668;41.6856507
Gualba;2.5389321;41.7179554
Sant Vicenç i Castellgalí;1.8595694;41.6679378
Sant Vicenç de Castellet;1.8623229;41.6688601
Castellbell i el Vilar - Monistrol de Montserrat;1.86895;41.6288394
Terrassa Estació del Nord;2.0157209;41.5703742
Terrassa Estació del Nord;2.0142622;41.5698673
Sabadell Nord;2.0965483;41.5616873
Montcada Bifurcació;2.1797157;41.4704564
Sant Boi;2.0429512;41.3484877
Colònia Güell;2.0316069;41.3640986
Santa Coloma de Cervelló;2.0239033;41.3701967
Sant Vicenç dels Horts;2.0123829;41.3880958
Sant Andreu de la Barca;1.9730931;41.4468421
el Palau;1.9625576;41.4556438
Martorell - Vila | Castellbisbal;1.9391571;41.476454
Abrera;1.9068327;41.5225925
Olesa de Montserrat;1.8879099;41.5414667
Monistrol de Montserrat (FGC);1.8503095;41.6091192
Castellbell i el Vilar;1.8547702;41.6405367
Manresa Alta;1.833017;41.7322156
Manresa-Baixador;1.8277403;41.7314552
Balenyà - Tona - Seva;2.2472578;41.8418882
Centelles;2.2228056;41.7994142
Sant Martí de Centelles;2.2491882;41.7607186
Figaró;2.2715584;41.7208879
la Garriga;2.2886565;41.6844864
les Franqueses del Vallès;2.2949726;41.6298517
Granollers - Canovelles;2.2765761;41.6112378
Parets del Vallès;2.2259136;41.5560433
Mollet-Santa Rosa;2.2059673;41.5364637
Montcada-Ripollet;2.1821038;41.4967377
Torelló;2.2599804;42.0521388
Manlleu;2.2691128;41.9998571
Ambulatorio Boyaca V;-64.6733445;10.1697694
Cruz Roja Venezolana;-64.6706227;10.154622
Clínica integral de la mujer;-64.6697087;10.1660981
Dispensario Los Mesones;-64.6716753;10.0901744
Laboratorio SunnyLab;-64.6771852;10.1522206
Ernest Lluch;2.1120352;41.3758955
Tordera;2.7194328;41.7070583
Mollet - Sant Fost;2.2175419;41.5334748
CAP Avinyó;1.970583;41.8655131
Rubí Centre;2.031646;41.4861823
Mira-sol Centre;2.0619136;41.4692228
Hospital General;2.0464405;41.4762458
Les Fonts;2.0334638;41.5287069
Vallparadís Universitat;2.019055;41.563362
Terrassa Nacions Unides;2.0133394;41.5803262
Valldoreix;2.0683322;41.4577151
la Floresta;2.0731985;41.4448629
les Planes;2.0916602;41.4275098
Baixador de Vallvidrera;2.0969165;41.4200755
Sant Quirze;2.0888542;41.530172
Bellaterra;2.0905894;41.5008421
la Creu Alta;2.1003325;41.5550705
Sabadell Parc del Nord;2.0900686;41.5712132
Vilanova del Camí;1.6413821;41.5736925
Capellades;1.6953521;41.5215563
Vallbona d'Anoia;1.7085087;41.5203435
Masquefa;1.812501;41.502957
Can Parellada;1.8307697;41.5022412
Sant Esteve Sesrovires;1.8725415;41.4977253
Funicular Plaça Doctor Andreu;2.1311043;41.416459
Funicular Parc d'atraccions Tibidabo;2.1194967;41.4213823
Centre mèdic N25;1.8425474;41.7228705
;2.0142445;41.3126044
;2.018367;41.3216302
;2.0143356;41.3233325
;2.0089699;41.3205026
;2.0094311;41.3174899
;2.0186832;41.32205
Mercat Nou;2.1333313;41.3727946
Plaça de Sants;2.1353228;41.37563
Torrassa;2.1156299;41.3680166
Unitat d'Hospitalització de la FSSJ;1.6187203;41.5826044
Fundació Eulàlia Torras de Beà;2.1636033;41.400939
Hospital Creu Blanca;2.4319885;41.5326468
